17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,17
6,9,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,17
6,6,6,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,17
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,17
17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,17
17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,17
6,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,17
6,6,6,6,6,6,6,6,9,6,6,6,6,6,6,6,6,6,6,6,6,17
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,6,6,17
17,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7,7,7,7,17
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
